Name,HP,SP,DEF,RES,SPD,EVA,Stat Total,Link,URL,Image,Full Name,Passive 1,Passive 2,Passive 3,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Passives,Skills,ID,Date
Kogasa,5,8,3,1,3,0,20,🔗,https://tbs-crossover-arena.fandom.com/wiki/Kogasa,,Kogasa Tatara,"Troubled Forgotten Item
When Kogasa hits an enemy affected by Terror,
She recovers 8 SP and 5 HP.",,,"Karakasa Surprising Flash
[ATK] Cost 3 SP
All Enemies: [Nature 2] {40% Terror 2}
This Skill has -1 ACC. ","A Rainy Night's Ghost Story
[ATK] Cost 2 SP
One Enemy: [Dark 2] {70% -2 RES} {70% Terror 3}","Drizzling Large Raindrops
[ATK] Cost 2 SP
All Enemies: [Water 1]
This Skill has -1 ACC.","Competent Blacksmith?
[SUP] Cost 3 SP
One Ally : [+2 ATK,DEF]   ",,1,4,011,11/13/2020
Will,7,8,1,0,7,3,26,🔗,https://tbs-crossover-arena.fandom.com/wiki/Will,,Will Treaty,"Unseen Movement
When Will is swapped,
gain [Crit 3].",,,"Expert Shot
[ATK] Cost 4 SP
One Enemy : [Pierce 3] 
This skill has Precision.","Unexpected Strategy
[SUP] Cost 4 SP
All Enemies : [-2 DEF,RES]","Double Knife Defense
[ATK] Cost 1 SP
One Enemy : [Blade 1] 
Self : [+2 DEF]","Hit-and-Run Tactics
[SUP] Cost 3 SP
One Enemy : [Terror 2]
Swap an ally Tug. ",,1,4,012,11/14/2020
Komachi,17,7,0,1,3,0,28,🔗,https://tbs-crossover-arena.fandom.com/wiki/Komachi,,Komachi Onozuka,"Slacking Off
When Komachi rallies,
Recover 6 HP.",,,"Short Life Expectancy
[ATK] Cost 1 SP
One Enemy : [Blade 2] {30% Death 1}","Ferriage in the Deep Fog
[ATK] Cost 2 SP
Two Enemies : [Cold 2] {20% Death 1}","The Endless Way 
[SUP] Cost 3 SP
All Allies : [Distance 2]","Scythe that Chooses the Dead
[ATK] Cost 4 SP
One Enemy : [Blade 5]",,1,4,013,12/2/2020
Olberic,14,5,3,0,4,2,28,🔗,https://tbs-crossover-arena.fandom.com/wiki/Olberic,,Olberic Eisenberg,"Cover
Olberic has Taunt 2.",,,"Stout Wall
[SUP] Cost 1 SP
Self: [+2 DEF]","Incite
[SUP] Cost 2 SP
Self: [Taunt 3]","Cross Strike
[ATK] Cost 3 SP
One Enemy: [Blade 4]","Thousand Spears
[ATK] Cost 5 SP
All Enemies: [Pierce 6]
This skill has -5 ACC.",,1,4,014,12/2/2020
Youmu,6,12,3,1,4,1,27,🔗,https://tbs-crossover-arena.fandom.com/wiki/Youmu,,Youmu Konpaku,"Phantom Half
While Youmu is at max HP,
her skills deal +3 damage.","Intense Concentration
When Youmu rallies,
gain [+1 DEF,RES] and [+2 EVA].  ",,"Present Life Slash
[ATK] Cost 4 SP
One Enemy : [Blade 3]
This skill has Scope and +4 ACC.","Slash of Eternity
[ATK] Cost 8 SP
One Enemy : [Blade 12]
Self : [-1 SPD,DEF]
This Skill has +2 ACC. ","Divine Slash of Karmic Wind
[ATK] Cost 11 SP
All Enemies: [Wind 10]
Self : [-2 SPD,DEF] 
This Skill has +3 ACC. ","Slash Clearing the Six Senses
[ATK] Cost 7 SP
All Enemies : [Nature 5]
Self : [Cure 1] 
This Skill has -1 ACC.",,2,4,015,12/2/2020
Sully,7,8,1,2,6,2,26,🔗,https://tbs-crossover-arena.fandom.com/wiki/Sully,,Sully,"Verbal Abuse
When Sully rallies,
All Enemies gain [-1 ATK].",,,"Fiery Words
[SUP] Cost 3 SP
All Allies : [Crit 2] [Bold 2] [-2 RES]","Swordbreaker
[ATK] Cost 4 SP
One Enemy: [Pierce 8]
If target does not have a Blade Skill, this Skill has no effect.","Charge of the Bull
[ATK] Cost 4 SP
Two Enemies : [Pierce 4]",,,1,3,016,12/3/2020
Vaike,14,10,1,0,5,1,31,🔗,https://tbs-crossover-arena.fandom.com/wiki/Vaike,,Vaike,"Slightly Forgetful
If Vaike starts in a slot 1-4, he gains [Weaken 1, Disable 1].
When Vaike is swapped, he gains [Weaken 1, Disable 1].",,,"Teach's Lesson
[SUP] Cost 2 SP
One Ally : [+4 ATK] [-3 SPD]","""Here Comes The Vaike!""
[ATK] Cost 5 SP
Two Enemies : [Impact 5 + X]
X = [5 - Vaike's SPD]","Tomahawk
[ATK] Cost 3 SP
One Enemy : [Impact 4]
This Skill has Scope and -2 ACC.",,,1,3,017,12/3/2020
Keine,6,12,3,2,4,1,28,🔗,https://tbs-crossover-arena.fandom.com/wiki/Keine,,Keine Kamishirasawa,"Organized Formation
When Keine uses Swap,
All Allies recover 2 SP.",,,"Ancient History - Old History
[MAG] Cost 4 SP
All Enemies : [Dark 3]
This Skill's damage is reduced by
the opposite defensive stat.
This Skill has -1 ACC.","New History - Next History
[MAG] Cost 4 SP
All Enemies : [Spirit 3]
This Skill has -1 ACC. ","Three Treasures - Sword
[SUP] Cost 3 SP
All Allies : [+1 ATK,MAG,SPD]","Three Treasures - Mirror
[SUP] Cost 3 SP
All Allies : [+1 DEF,RES,EVA]",,1,4,018,12/4/2020
Minoriko,7,12,0,4,6,1,30,🔗,https://tbs-crossover-arena.fandom.com/wiki/Minoriko,,Minoriko Aki,"Rapid Charge
When Minoriko rallies, recover 4 SP.
When Minoriko recovers SP in the back, recover 2 SP.",,,"Autumn Sky
[MAG] Cost 2 SP
One Enemy : [Nature 2]  
Minoriko gains [+2 SPD].","Warm Color Harvest
[MAG] Cost 6 SP
All Enemies : [Nature X] 
X = RES.
This Skill has -1 ACC. ","Sweet Potato Room
[SUP] Cost 3 SP
One Ally : Recover 6 HP.","Owotoshi Harvester
[SUP] Cost 3 SP
One Ally : [+2 DEF, RES].",,1,4,019,12/4/2020
Ophilia,8,15,0,3,4,0,30,🔗,https://tbs-crossover-arena.fandom.com/wiki/Ophilia,,Ophilia Clement,"Saving Grace
Ophilia's HP may go above her MAX HP.",,,"Heal Wounds
[SUP] Cost 5 SP
All Allies: Recover 5 HP.","Luminescence
[MAG] Cost 4 SP
All Enemies: [Light 3]
This Skill has -1 ACC. ","Sheltering Veil
[SUP] Cost 3 SP
All Allies: [+2 RES]","Revive
[SUP] Cost 5 SP
Any KO'ed Ally: Revive Ally with 1 HP.",,1,4,020,12/4/2020
Nitori,5,10,1,1,5,2,24,🔗,https://tbs-crossover-arena.fandom.com/wiki/Nitori,,Nitori Kawashiro,"Optical Camouflage Suit
At the end of Nitori's turn,
gain [Cloak 1].",,,"Kappa's Illusionary Waterfall
[ATK] Cost 2 SP
All Enemies: [Water 1] {50% -2 DEF}
This Skill has -1 ACC. ","Exteeeending Aaaaarm
[ATK] Cost 2 SP
All Enemies: [Nature 2]
This Skill has -2 ACC. ","Super Scope 3D
[ATK] Cost 8 SP
One Enemy: [Pierce 10]
This Skill has Scope. ","Portable Versatile Machine
[SUP] Cost 2 SP
Self: [+1 ATK,DEF,RES,SPD]",,1,4,021,12/8/2020
Rinnosuke,8,6,2,1,0,1,18,🔗,https://tbs-crossover-arena.fandom.com/wiki/Rinnosuke,,Rinnosuke Morichika,"Effective Formation
When Rinnosuke uses Swap,
All Allies gain [+2 SPD].","Curio Trader
When Rinnosuke uses Swap,
you may spend 1 SP to
give One Ally [Scope 2] or [Break 2].",,"First Aid
[SUP] Cost: 1 SP
One Ally : Recovers 3 HP.","Battle Command
[SUP] Cost: 2 SP
One Ally : [+1 ATK,MAG,DEF,RES]",,,,2,2,022,12/8/2020
Rumia,3,9,0,2,3,0,17,🔗,https://tbs-crossover-arena.fandom.com/wiki/Rumia,,Rumia,"Darkness-Lurking Youkai
Attack Skills have no effect on Rumia.",,,"Moonlight Ray
[MAG] Cost 2 SP
One Enemy: [Dark 4]","Dark Side of the Moon
[MAG] Cost 2 SP
All Enemies: [Dark 2]
This Skill has Break and -1 ACC. ","Demarcation
[SUP] Cost 3 SP
All Allies: Recover 2 HP. [Cure 0].",,,1,3,023,12/8/2020
Wobbuffet,30,6,0,0,0,0,36,🔗,https://tbs-crossover-arena.fandom.com/wiki/Wobbuffet,,Wobbuffet,"Shadow Tag 
Wobbuffet has Ward [Heavy 1].","Counter 
When hit by an Attack Skill,
spend 1 SP to gain [+X ATK].
X = damage taken from Skill ","Mirror Coat
When hit by an Magic Skill,
spend 1 SP to gain [+X MAG].
X = damage taken from Skill","Rebound
[X] Cost 1 SP
All Enemies : [Impact 0]
X = ATK or MAG. 
This Skill has -1 ACC. ",,,,,3,1,024,12/8/2020
Ruby,6,11,1,1,7,4,30,🔗,https://tbs-crossover-arena.fandom.com/wiki/Ruby,,Ruby Rose,"Semblance: Petal Burst
After her action, or when swapped, Ruby may
spend 2 SP to gain [Haste 1] and [+2 EVA]. ",,,"Crescent Rose: Sniper Shot 
[ATK] Cost 3 SP
One Enemy: [Pierce 3]
This skill has +2 ACC and Scope.","Crescent Rose: Cleave
[ATK] Cost 4 SP
Two Enemies: [Blade 4]","Crescent Rose: Red Like Roses
[ATK] Cost 5 SP
All Enemies: [Blade 3] {20% Death 1}
This Skill has -1 ACC.",,,1,3,025,1/7/2021
Sans,1,25,0,0,6,X,32,🔗,https://tbs-crossover-arena.fandom.com/wiki/Sans,,Sans,"Dodge
X = SP. Lose 3 SP every time you evade a skill.",,,"Gaster Blaster
[MAG] Cost 5 SP
One Enemy: [Mystic 7]","Bone Stab
[MAG] Cost 4 SP
Two Enemies: [Impact 1] [Poison 4]","Changing Gravity 
[SUP] Cost 4 SP
All Enemies: [-3 EVA]",,,1,3,026,1/7/2021
Geoffrey,13,8,3,2,3,0,29,🔗,https://tbs-crossover-arena.fandom.com/wiki/Geoffrey,,Geoffrey,"Inviolability
Every time a skill hits Geoffrey, gain [1 Transform]. ","Untainted
If Geoffrey has 5 Transforms at the start of his
turn he becomes The Faceless Judge. ",,"Sacrement of Blades
[MAG] Cost 5 SP
All Enemies : [Light 3]
Recover X HP. X = Enemies hit.
This Skill has -1 ACC. ","Golden Chains
[SUP] Cost 3 SP
Self : [-2 SPD] [+2 DEF] [Cure 0]","Compulsive Purification
[SUP] Cost 4 SP
Self : Gain [X Transform].
One Enemy : [Curse 0]
X = Number of Status Effects Removed with Curse.",,,2,3,027,1/8/2021
Taisei,8,10,X,X,5,2,25,🔗,https://tbs-crossover-arena.fandom.com/wiki/Taisei,,Taisei,"Demonheart
After Taisei's turn, he gains [+1 Transform].
X = # of Taisei's Transforms. 
Taisei cannot have more than 3 Transforms.","Deathless
When Taisei is KOed, if he had 3 Transforms,
revive him with 10 HP as The Dullahan.",,"Blackvolt
[MAG] Cost 2 SP
One Enemy: [Dark X]
This Skill has Break.","Dust to Dust
[MAG] Cost 3 SP
One Enemy: [Dark 3]
If Skill hits, recover 3 HP.","Anathema Surge
[SUP] Cost 3 HP
Self : [+1 Transform]",,,2,3,028,1/8/2021
Nazgul,7,10,3,0,5,3,28,🔗,https://tbs-crossover-arena.fandom.com/wiki/Nazg%C3%BBl,,Nazgul,"The Black Breath
At the end of the Nazgûl's turn,
all Enemies gain [Terror 1].",,,"Morgul-knife
[ATK] Cost 6 SP
One Enemy: [Blade 2] [Poison 5]","Piercing Screech
[MAG] Cost 4 SP
All Enemies: [Dark 2] [Apathy 1]
This Skill has -1 ACC.","The Ringwraith's Sword
[ATK] Cost 3 SP
Two Enemies: [Blade 3]",,,1,3,029,5/14/2021
Ichigo,9,14,1,4,7,3,38,🔗,https://tbs-crossover-arena.fandom.com/wiki/Ichigo,,Ichigo Kurosaki,"Restless
Ichigo recovers HP and SP twice as fast in the Back.",,,"Zangetsu
[MAG] Cost 5 SP
One Enemy : [7 Blade]  ","Getsuga Tenshò
[MAG] Cost 5 SP
Two Enemies: [5 Spirit] ","Tensa Zangetsu
[SUP] Cost 4 SP
Self: [+3 MAG,SPD]  ","Bult Vene 
[SUP] Cost 4 SP
Self: [+3 DEF,RES]",,1,4,030,5/15/2021
Dandelion,12,8,3,0,3,0,26,🔗,https://tbs-crossover-arena.fandom.com/wiki/Dandelion,,Dandelion Goot,"Planted
Dandelion is Steady.
Dandelion is immune to Heavy.","Lionhearted
Dandelion is immune to Terror and Apathy.",,"Rend The Earth
[SUP] Cost 3 SP
All Enemies : [Heavy 2]","Fields Of Fury
[ATK] Cost 5 SP
All Enemies : [Impact 4]
This Skill has -1 ACC. ","Root
[ATK] Cost 2 SP
One Enemy : [Impact 1] [Heavy 4]","Solid as The Earth
[SUP] Cost 3 SP
All Allies : [Steady 4]",,2,4,031,5/15/2021
Aya,5,6,1,0,9,6,27,🔗,https://tbs-crossover-arena.fandom.com/wiki/Aya,,Aya Shameimaru,"Extra Steps
When Aya KOs an enemy, 
She regains her turn.",,,"Wind God's Fan
[ATK] Cost 1 SP
Two Enemies : [Wind 1]
This skill has +3 ACC. ","Peerless Wind God
[ATK] Cost 3 SP
One Enemy : [Wind 3] 
Aya gains [+2 SPD].","Sarutahiko's Guidance
[SUP] Cost 2 SP
One Ally : [+3 SPD]","Divine Grandson's Advent
[SUP] Cost 4 SP
One Target : [Haste 2]",,1,4,032,5/15/2021
Hazama,6,6,1,1,6,4,24,🔗,https://tbs-crossover-arena.fandom.com/wiki/Hazama,,Hazama Honoka,"Ouroboros
After Hazama's turn, he may
immediately swap places with any ally.",,,"Hungry Coils
[ATK] Cost 1 SP
One Enemy : [Blade 0] 
This skill has Scope.
If this skill hits, you may swap
the target enemy with an enemy in Front.","Serpent’s Redemption
[SUP] Cost 1 SP
Swap places with an ally in Front.
You may use another skill.","Venom Sword
[ATK] Cost 2 SP
One Enemy : [Dark 2]
If the target shares Hazama's slot number,
inflict [Poison 4] on hit.",,,1,3,033,5/15/2021
Harry Potter,5,16,0,3,4,1,29,🔗,https://tbs-crossover-arena.fandom.com/wiki/Harry_Potter,,Harry Potter,,,,"Expelliarmus
[SUP] Cost 6 SP
One Enemy : [Silence 3]","Expecto Patronum
[MAG] Cost 5 SP
One Enemy : [Light 10]
This Skill has no effect on targets without a Dark Skill.","Stupefy
[MAG] Cost 4 SP
One Enemy : [Impact 5] {50% Weaken 2}","Protego
[SUP] Cost 3 SP
One Ally : [+3 RES, +1 DEF] ",,0,4,034,5/15/2021
Koishi,4,5,1,2,3,8,23,🔗,https://tbs-crossover-arena.fandom.com/wiki/Koishi,,Koishi Komeiji,"Subconscious Manipulation
Koishi has Distance.",,,"The Embers of Love
[MAG] Cost 2 SP
One Enemy : [Fire 5]
This skill has -3 ACC.","Super-Ego
[MAG] Cost 3 SP
All Enemies : [Void 1]
This skill has +2 ACC. ","Bedside Ancestors
[MAG] Cost 4 SP
All Enemies : [Mystic 1 + X]
This Skill has -1 ACC. 
If target is has Silence or Terror then X = 2.
If target is has Silence and Terror then X = 5.","Selfless Love
[SUP] Cost 3 SP
One Target : Recover X HP. [Cure 0, Curse 0]
X = Sum of Target's Status Effects.",,1,4,035,5/16/2021
The Impostor,4,6,0,0,2,0,12,🔗,https://tbs-crossover-arena.fandom.com/wiki/The_Impostor,,The Impostor,"Vent
When an Ally in front uses a normal Swap action
on themselves and The Imposter in the back,
The Imposter gains a turn this round
and gains [Haste 1].",,,"Kill
[SUP] Cost 6 SP
One Target : {50% Death 0}","Sabotage Lights
[SUP] Cost 6 SP
All Enemies : [-3 ACC]","Sabotage Reactor
[SUP] Cost 6 SP
All Enemies : [Terror 3]","Sabotage Comms
[SUP] Cost 6 SP
All Enemies : [Disable 3]",,1,4,036,5/16/2021
Scorpion,8,7,1,1,6,2,25,🔗,https://tbs-crossover-arena.fandom.com/wiki/Scorpion,,Scorpion,"Borne of Rage
Scorpion is immune to Burn.
Fire Skills have no effect on Scorpion.",,,"Spear
[ATK] Cost 4 SP
One Enemy : [Blade 4] [Weaken 2] ","Flameport
[ATK] Cost 3 SP
One Enemy : [Fire 4]
Scorpion may swap places with an ally in Front.","Hellfire
[MAG] Cost 5 SP
One Enemy : [Fire 4 + X]
X = Scorpion's missing HP.",,,1,3,037,5/16/2021
The Dullahan,10,0,3,3,7,0,23,🔗,https://tbs-crossover-arena.fandom.com/wiki/Taisei,,The Dullahan,"Edge of Death
Taisei has Break.",,,"Chaos Scissors
[ATK] Cost 3 HP
One Enemy: [Blade 8]
This skill has Precision and Scope.","Nightmare Tares
[MAG] Cost 0 SP
One Enemy: [Dark 5]
Self : Recover X HP.",,,,1,2,038,5/14/2021
The Faceless Judge,13,4,0,0,0,0,17,🔗,https://tbs-crossover-arena.fandom.com/wiki/Geoffrey,,The Faceless Judge,"Baton Stance
The Faceless Judge has Thorns 6.",,,"Crusader's Oath 
[MAG] Cost 4 SP
Two Enemies : [Blade 6] 
This Skill has Break and +X ACC.
X = Target's SPD ","Inviolable Judgement 
[ATK] Cost 4 SP
One Enemy : [Light 10]
This Skill has Scope and Break.",,,,1,2,039,5/14/2021
Link (LoZ),10,12,1,1,4,0,28,🔗,https://tbs-crossover-arena.fandom.com/wiki/Link_(LoZ),,Link (LoZ),,,,"Magical Sword
[MAG] Cost 4 SP
One Enemy : [Blade 4]
When Link is at max HP,
+2 ACC and deal +1 damage. ","Bow and Arrows
[ATK] Cost X
One Enemy : [Pierce X]
X = Choose a number from 0 to 5.
This Skill has Scope and +2 ACC.","Bomb
[ATK] Cost 3 SP
Two Enemies : [Fire 7]
This skill has -5 ACC.  ","Candle
[ATK] Cost 2 SP
One Enemy : [Fire 1]
All Allies : [+2 ACC] ","Power Bracelet
[ATK] Cost 8 SP
One Enemy : [Impact 5]
If this skill hits,
swap the target and any enemy.",0,5,040,5/17/2021
Snake,16,8,3,0,6,2,35,🔗,https://tbs-crossover-arena.fandom.com/wiki/Solid_Snake,,Snake,"Stealth Specialist
When Snake rallies,
he gains [Invisible 1].",,,"Cardboard Box
[SUP] Cost 4 SP
Self : [Invisible 1] [Crit 3]","Silent Takedown
[ATK] Cost 3 SP
One Enemy : [Impact 0] [Death 1]
Snake can only use this skill while Invisible.
If attack hits, gain [Invisible 1].","Aggressive Takedown
[ATK] Cost 4 SP
One Enemy : [Pierce 7] 
Snake can only use this skill while Invisible.",,,1,3,041,5/17/2021
Atticus,8,14,0,0,5,1,28,🔗,https://tbs-crossover-arena.fandom.com/wiki/Atticus,,Atticus O'Sullivan,"Iron Bound Aura
Magic Skills have no effect on Atticus. ","Healing Charm
At the end of Atticus' turn,
you may spend 1 SP to recover 3 HP.",,"Fragarach
[ATK] Cost 5 SP
One Enemy : [Blade 4]
This Skill has Break.","Druidic Bindings
[SUP] Cost 4 SP
One Ally : [+2 ACC,ATK,SPD]
If used on Atticus, you may take another action. ",,,,2,2,042,5/18/2021
Gengar,6,8,1,2,7,3,27,🔗,https://tbs-crossover-arena.fandom.com/wiki/Gengar,,Gengar,"Cursed Body
When Gengar is in front and
an enemy uses a Support Skill,
they suffer [Disable 2]. ",,,"Perish Song
[SUP] Cost 3 SP 
All Targets : [Death 3] ","Hypnosis
[SUP] Cost 4 SP
One Enemy : {70% Sleep 3}  ","Shadow Ball  
[MAG] Cost 5 SP
One Enemy : [Dark 5] {50% -2 RES}  ",,,1,3,043,5/18/2021
Ike,14,13,2,0,5,1,35,🔗,https://tbs-crossover-arena.fandom.com/wiki/Ike,,Ike,"Radiant Vanguard
Blade Skills have no effect on Ike.",,,"Legendary Ragnell 
[ATK] Cost 5 SP
One Enemy : [Blade 6]
This Skill has Scope and +2 ACC.","Hallowed Urvan 
[ATK] Cost 4 SP
Two Enemies : [Impact 4]
This Skill has +2 ACC. ","Great Aether
[ATK] Cost 8 SP
One Enemy : [Blade 6]
Self : Recover X HP. 
This Skill has Break.
X = damage dealt to the target",,,1,3,044,5/18/2021
Sanae,8,8,1,1,5,0,23,🔗,https://tbs-crossover-arena.fandom.com/wiki/Sanae,,Sanae Kochiya,"Power of the Living God
While Sanae is in front,
Spirit type skills deal +1 damage.  ",,,"Night of Bright Guest Stars
[MAG] Cost 5 SP
All Enemies : [Spirit 1]
This skill has Precision.","Moses's Miracle
[MAG] Cost 3 SP
Two Enemies : [Cold 2]
This skill has +3 ACC. ","Yasaka's Divine Wind
[SUP] Cost 4 SP
One Ally : Recover 3 HP. [Cure 1]","Miracle Fruit
[SUP] Cost 3 SP
One Ally : [+1 ATK,MAG,DEF,RES,SPD,EVA]",,1,4,045,5/18/2021
Mokou,10,13,2,1,4,1,31,🔗,https://tbs-crossover-arena.fandom.com/wiki/Mokou,,Fujiwara no Mokou,"Resurrection
When Mokou is KO'ed,
you may spend 1 SP to revive her at 1 HP.
She loses her turn this round. ",,,"Fire Bird - Flying Phoenix
[ATK] Cost 2 SP
One Enemy : [Fire 3] {20% Burn 2} ","Tsuki no Iwaskasa's Curse
[ATK] Cost 4 SP
All Enemies : [Wind 2] [-2 ATK,MAG]
This Skill has -1 ACC. ","Fujiyama Volcano
[ATK] Cost 7 SP
All Enemies : [Fire 5]
This skill has +2 ACC.",,,1,3,046,5/20/2021
Dave,6,10,0,0,8,5,29,🔗,https://tbs-crossover-arena.fandom.com/wiki/Dave_the_Destructive,,Dave the Destructive,"Martial Arts
Dave has Combo 3.",,,"Quivering Palm
[ATK] Cost 6 SP
One Enemy : [Impact 0] [Death 2]","Flurry of Blows
[ATK] Cost 3 SP
One Enemy : [Impact 5] ","Patient Defense
[SUP] Cost 1 SP
Self : [+2 EVA] ","Step of the Wind
[SUP] Cost 2 SP 
Swap with any ally. ",,1,4,047,5/21/2021
