Character,#,Text,Char ID,Skill ID,Name,Skill Type,Cost,Target,Damage Type,Damage,Inflict,Accuracy,Effect,Self
Ophilia,2,"Luminescence
[MAG] Cost 4 SP
All Enemies: [Light 3]
This Skill has -1 ACC. ",020,205,"Luminescence",MAG,4 SP,All Enemies,Light,3,,,,
Ophilia,3,"Sheltering Veil
[SUP] Cost 3 SP
All Allies: [+2 RES]",020,206,"Sheltering Veil",SUP,3 SP,All Allies,,,,,,
Ophilia,4,"Revive
[SUP] Cost 5 SP
Any Ally: Revive KO'ed Ally with 1 HP.",020,207,"Revive",SUP,5 SP,Any Ally,,,,,,
Nitori,1,"Kappa's Illusionary Waterfall
[ATK] Cost 2 SP
All Enemies: [Water 1] {50% -2 DEF}
This Skill has -1 ACC. ",021,214,"Kappa's Illusionary Waterfall",ATK,2 SP,All Enemies,Water,1,,,,
Nitori,2,"Exteeeending Aaaaarm
[ATK] Cost 2 SP
All Enemies: [Nature 2]
This Skill has -2 ACC. ",021,215,"Exteeeending Aaaaarm",ATK,2 SP,All Enemies,Nature,2,,,,
Nitori,3,"Super Scope 3D
[ATK] Cost 8 SP
One Enemy: [Pierce 10]
This Skill has Scope. ",021,216,"Super Scope 3D",ATK,8 SP,One Enemy,Pierce,10,,,,
Nitori,4,"Portable Versatile Machine
[SUP] Cost 2 SP
Self: [+1 ATK,DEF,RES,SPD]",021,217,"Portable Versatile Machine",SUP,2 SP,Self,,,,,,
Rinnosuke,1,"First Aid
[SUP] Cost: 1 SP
One Ally : Recovers 3 HP.",022,224,First Aid,SUP,: 1 SP,[SUP] Cost,,,,,,
Rinnosuke,2,"Battle Command
[SUP] Cost: 2 SP
One Ally : [+1 ATK,MAG,DEF,RES]",022,225,Battle Command,SUP,: 2 SP,[SUP] Cost,,,,,,
Rumia,1,"Moonlight Ray
[MAG] Cost 2 SP
One Enemy: [Dark 4]",023,234,"Moonlight Ray",MAG,2 SP,One Enemy,Dark,4,,,,
Rumia,2,"Dark Side of the Moon
[MAG] Cost 2 SP
All Enemies: [Dark 2]
This Skill has Break and -1 ACC. ",023,235,"Dark Side of the Moon",MAG,2 SP,All Enemies,Dark,2,,,,
Rumia,3,"Demarcation
[SUP] Cost 3 SP
All Allies: Recover 2 HP. [Cure 0].",023,236,"Demarcation",SUP,3 SP,All Allies,,,,,,
Wobbuffet,1,"Rebound
[X] Cost 1 SP
All Enemies : [Impact 0]
X = ATK or MAG. 
This Skill has -1 ACC. ",024,244,"Rebound",X,1 SP,All Enemies,,,,,,
Ruby,1,"Crescent Rose: Sniper Shot 
[ATK] Cost 3 SP
One Enemy: [Pierce 3]
This skill has +2 ACC and Scope.",025,254,"Crescent Rose: Sniper Shot ",ATK,3 SP,One Enemy,Pierce,3,,,,
Ruby,2,"Crescent Rose: Cleave
[ATK] Cost 4 SP
Two Enemies: [Blade 4]",025,255,Crescent Rose: Cleave,ATK,4 SP,Two Enemies,Blade,4,,,,
Ruby,3,"Crescent Rose: Red Like Roses
[ATK] Cost 5 SP
All Enemies: [Blade 3] {20% Death 1}
This Skill has -1 ACC.",025,256,"Crescent Rose: Red Like Roses",ATK,5 SP,All Enemies,Blade,3,,,,
Sans,1,"Gaster Blaster
[MAG] Cost 5 SP
One Enemy: [Mystic 7]",026,264,"Gaster Blaster",MAG,5 SP,One Enemy,Mystic,7,,,,
Sans,2,"Bone Stab
[MAG] Cost 4 SP
Two Enemies: [Impact 1] [Poison 4]",026,265,Bone Stab,MAG,4 SP,Two Enemies,Impact,1,,,,
Sans,3,"Changing Gravity 
[SUP] Cost 4 SP
All Enemies: [-3 EVA]",026,266,"Changing Gravity ",SUP,4 SP,All Enemies,,,,,,
Geoffrey,1,"Sacrement of Blades
[MAG] Cost 5 SP
All Enemies : [Light 3]
Recover X HP. X = Enemies hit.
This Skill has -1 ACC. ",027,274,"Sacrement of Blades",MAG,5 SP,All Enemies,Light,3,,,,
Geoffrey,2,"Golden Chains
[SUP] Cost 3 SP
Self : [-2 SPD] [+2 DEF] [Cure 0]",027,275,"Golden Chains",SUP,3 SP,Self,,,,,,
Geoffrey,3,"Compulsive Purification
[SUP] Cost 4 SP
Self : Gain [X Transform].
One Enemy : [Curse 0]
X = Number of Status Effects Removed with Curse.",027,276,"Compulsive Purification",SUP,4 SP,Self,,,,,,
Taisei,1,"Blackvolt
[MAG] Cost 2 SP
One Enemy: [Dark X]
This Skill has Break.",028,284,"Blackvolt",MAG,2 SP,One Enemy,Dark,X,,,,
Taisei,2,"Dust to Dust
[MAG] Cost 3 SP
One Enemy: [Dark 3]
If Skill hits, recover 3 HP.",028,285,"Dust to Dust",MAG,3 SP,One Enemy,Dark,3,,,,
Taisei,3,"Anathema Surge
[SUP] Cost 3 HP
Self : [+1 Transform]",028,286,"Anathema Surge",SUP,3 HP,Self,,,,,,
Nazgul,1,"Morgul-knife
[ATK] Cost 6 SP
One Enemy: [Blade 2] [Poison 5]",029,294,"Morgul-knife",ATK,6 SP,One Enemy,Blade,2,,,,
Nazgul,2,"Piercing Screech
[MAG] Cost 4 SP
All Enemies: [Dark 2] [Apathy 1]
This Skill has -1 ACC.",029,295,"Piercing Screech",MAG,4 SP,All Enemies,Dark,2,,,,
Nazgul,3,"The Ringwraith's Sword
[ATK] Cost 3 SP
Two Enemies: [Blade 3]",029,296,The Ringwraith's Sword,ATK,3 SP,Two Enemies,Blade,3,,,,
Ichigo,1,"Zangetsu
[MAG] Cost 5 SP
One Enemy : [7 Blade]  ",030,304,"Zangetsu",MAG,5 SP,One Enemy,#N/A,,,,,
Ichigo,2,"Getsuga Tenshò
[MAG] Cost 5 SP
Two Enemies: [5 Spirit] ",030,305,"Getsuga Tenshò",MAG,5 SP,Two Enemies,#N/A,,,,,
Ichigo,3,"Tensa Zangetsu
[SUP] Cost 4 SP
Self: [+3 MAG,SPD]  ",030,306,"Tensa Zangetsu",SUP,4 SP,Self,,,,,,
Ichigo,4,"Bult Vene 
[SUP] Cost 4 SP
Self: [+3 DEF,RES]",030,307,"Bult Vene ",SUP,4 SP,Self,,,,,,
Dandelion,1,"Rend The Earth
[SUP] Cost 3 SP
All Enemies : [Heavy 2]",031,314,"Rend The Earth",SUP,3 SP,All Enemies,,,,,,
Dandelion,2,"Fields Of Fury
[ATK] Cost 5 SP
All Enemies : [Impact 4]
This Skill has -1 ACC. ",031,315,"Fields Of Fury",ATK,5 SP,All Enemies,Impact,4,,,,
Dandelion,3,"Root
[ATK] Cost 2 SP
One Enemy : [Impact 1] [Heavy 4]",031,316,"Root",ATK,2 SP,One Enemy,Impact,1,,,,
Dandelion,4,"Solid as The Earth
[SUP] Cost 3 SP
All Allies : [Steady 4]",031,317,"Solid as The Earth",SUP,3 SP,All Allies,,,,,,
Aya,1,"Wind God's Fan
[ATK] Cost 1 SP
Two Enemies : [Wind 1]
This skill has +3 ACC. ",032,324,"Wind God's Fan",ATK,1 SP,Two Enemies,Wind,1,,,,
Aya,2,"Peerless Wind God
[ATK] Cost 3 SP
One Enemy : [Wind 3] 
Aya gains [+2 SPD].",032,325,"Peerless Wind God",ATK,3 SP,One Enemy,Wind,3,,,,
Aya,3,"Sarutahiko's Guidance
[SUP] Cost 2 SP
One Ally : [+3 SPD]",032,326,"Sarutahiko's Guidance",SUP,2 SP,One Ally,,,,,,
Aya,4,"Divine Grandson's Advent
[SUP] Cost 4 SP
One Target : [Haste 2]",032,327,"Divine Grandson's Advent",SUP,4 SP,One Target,,,,,,
Hazama,1,"Hungry Coils
[ATK] Cost 1 SP
One Enemy : [Blade 0] 
This skill has Scope.
If this skill hits, you may swap
the target enemy with an enemy in Front.",033,334,"Hungry Coils",ATK,1 SP,One Enemy,Blade,0,,,,
Hazama,2,"Serpent’s Redemption
[SUP] Cost 1 SP
Swap places with an ally in Front.
You may use another skill.",033,335,"Serpent’s Redemption",SUP,1 SP,#N/A,,,,,,
Hazama,3,"Venom Sword
[ATK] Cost 2 SP
One Enemy : [Dark 2]
If the target shares Hazama's slot number,
inflict [Poison 4] on hit.",033,336,"Venom Sword",ATK,2 SP,One Enemy,Dark,2,,,,
Harry Potter,1,"Expelliarmus
[SUP] Cost 6 SP
One Enemy : [Silence 3]",034,344,"Expelliarmus",SUP,6 SP,One Enemy,,,,,,
Harry Potter,2,"Expecto Patronum
[MAG] Cost 5 SP
One Enemy : [Light 10]
This Skill has no effect on targets without a Dark Skill.",034,345,"Expecto Patronum",MAG,5 SP,One Enemy,Light,10,,,,
Harry Potter,3,"Stupefy
[MAG] Cost 4 SP
One Enemy : [Impact 5] {50% Weaken 2}",034,346,"Stupefy",MAG,4 SP,One Enemy,Impact,5,,,,
Harry Potter,4,"Protego
[SUP] Cost 3 SP
One Ally : [+3 RES, +1 DEF] ",034,347,"Protego",SUP,3 SP,One Ally,,,,,,
Koishi,1,"The Embers of Love
[MAG] Cost 2 SP
One Enemy : [Fire 5]
This skill has -3 ACC.",035,354,"The Embers of Love",MAG,2 SP,One Enemy,Fire,5,,,,
Koishi,2,"Super-Ego
[MAG] Cost 3 SP
All Enemies : [Void 1]
This skill has +2 ACC. ",035,355,"Super-Ego",MAG,3 SP,All Enemies,Void,1,,,,
Koishi,3,"Bedside Ancestors
[MAG] Cost 4 SP
All Enemies : [Mystic 1 + X]
This Skill has -1 ACC. 
If target is has Silence or Terror then X = 2.
If target is has Silence and Terror then X = 5.",035,356,"Bedside Ancestors",MAG,4 SP,All Enemies,#N/A,,,,,
Koishi,4,"Selfless Love
[SUP] Cost 3 SP
One Target : Recover X HP. [Cure 0, Curse 0]
X = Sum of Target's Status Effects.",035,357,"Selfless Love",SUP,3 SP,One Target,,,,,,
The Impostor,1,"Kill
[SUP] Cost 6 SP
One Target : {50% Death 0}",036,364,"Kill",SUP,6 SP,One Target,,,,,,
The Impostor,2,"Sabotage Lights
[SUP] Cost 6 SP
All Enemies : [-3 ACC]",036,365,"Sabotage Lights",SUP,6 SP,All Enemies,,,,,,
The Impostor,3,"Sabotage Reactor
[SUP] Cost 6 SP
All Enemies : [Terror 3]",036,366,Sabotage Reactor,SUP,6 SP,All Enemies,,,,,,
The Impostor,4,"Sabotage Comms
[SUP] Cost 6 SP
All Enemies : [Disable 3]",036,367,"Sabotage Comms",SUP,6 SP,All Enemies,,,,,,
Scorpion,1,"Spear
[ATK] Cost 4 SP
One Enemy : [Blade 4] [Weaken 2] ",037,374,"Spear",ATK,4 SP,One Enemy,Blade,4,,,,
Scorpion,2,"Flameport
[ATK] Cost 3 SP
One Enemy : [Fire 4]
Scorpion may swap places with an ally in Front.",037,375,"Flameport",ATK,3 SP,One Enemy,Fire,4,,,,
Scorpion,3,"Hellfire
[MAG] Cost 5 SP
One Enemy : [Fire 4 + X]
X = Scorpion's missing HP.",037,376,"Hellfire",MAG,5 SP,One Enemy,#N/A,,,,,
The Dullahan,1,"Chaos Scissors
[ATK] Cost 3 HP
One Enemy: [Blade 8]
This skill has Precision and Scope.",038,384,"Chaos Scissors",ATK,3 HP,One Enemy,Blade,8,,,,
The Dullahan,2,"Nightmare Tares
[MAG] Cost 0 SP
One Enemy: [Dark 5]
Self : Recover X HP.",038,385,"Nightmare Tares",MAG,0 SP,One Enemy,Dark,5,,,,
The Faceless Judge,1,"Crusader's Oath 
[MAG] Cost 4 SP
Two Enemies : [Blade 6] 
This Skill has Break and +X ACC.
X = Target's SPD ",039,394,"Crusader's Oath ",MAG,4 SP,Two Enemies,Blade,6,,,,
The Faceless Judge,2,"Inviolable Judgement 
[ATK] Cost 4 SP
One Enemy : [Light 10]
This Skill has Scope and Break.",039,395,"Inviolable Judgement ",ATK,4 SP,One Enemy,Light,10,,,,
Link (LoZ),1,"Magical Sword
[MAG] Cost 4 SP
One Enemy : [Blade 4]
When Link is at max HP,
+2 ACC and deal +1 damage. ",040,404,"Magical Sword",MAG,4 SP,One Enemy,Blade,4,,,,
Link (LoZ),2,"Bow and Arrows
[ATK] Cost X
One Enemy : [Pierce X]
X = Choose a number from 0 to 5.
This Skill has Scope and +2 ACC.",040,405,"Bow and Arrows",ATK,X,One Enemy,Pierce,X,,,,
Link (LoZ),3,"Bomb
[ATK] Cost 3 SP
Two Enemies : [Fire 7]
This skill has -5 ACC.  ",040,406,"Bomb",ATK,3 SP,Two Enemies,Fire,7,,,,
Link (LoZ),4,"Candle
[ATK] Cost 2 SP
One Enemy : [Fire 1]
All Allies : [+2 ACC] ",040,407,"Candle",ATK,2 SP,One Enemy,Fire,1,,,,
Link (LoZ),5,"Power Bracelet
[ATK] Cost 8 SP
One Enemy : [Impact 5]
If this skill hits,
swap the target and any enemy.",040,408,"Power Bracelet",ATK,8 SP,One Enemy,Impact,5,,,,
Snake,1,"Cardboard Box
[SUP] Cost 4 SP
Self : [Invisible 1] [Crit 3]",041,414,"Cardboard Box",SUP,4 SP,Self,,,,,,
Snake,2,"Silent Takedown
[ATK] Cost 3 SP
One Enemy : [Impact 0] [Death 1]
Snake can only use this skill while Invisible.
If attack hits, gain [Invisible 1].",041,415,Silent Takedown,ATK,3 SP,One Enemy,Impact,0,,,,
Snake,3,"Aggressive Takedown
[ATK] Cost 4 SP
One Enemy : [Pierce 7] 
Snake can only use this skill while Invisible.",041,416,"Aggressive Takedown",ATK,4 SP,One Enemy,Pierce,7,,,,
Atticus,1,"Fragarach
[ATK] Cost 5 SP
One Enemy : [Blade 4]
This Skill has Break.",042,424,"Fragarach",ATK,5 SP,One Enemy,Blade,4,,,,
